name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2,activity_zone_id,production,attraction
,1376,354752584.0,,yes,,,,"POLYGON ((80.2523396 13.0080081, 80.2524772 13.0080054, 80.2524729 13.0078015, 80.2523353 13.0078042, 80.2523396 13.0080081))",POINT (80.2524063 13.0079048),336.6,3623.0,8,3.6231322406400004,3.6231322406400004
,1377,354752586.0,,yes,,,,"POLYGON ((80.25461730000001 13.0091104, 80.2547773 13.0091134, 80.254779 13.0090241, 80.25461900000001 13.0090211, 80.25461730000001 13.0091104))",POINT (80.2546981 13.0090672),171.4,1844.9,8,1.84493424256,1.84493424256
,1378,354752588.0,,yes,,,,"POLYGON ((80.2548048 13.008432, 80.2549154 13.0084284, 80.2549066 13.0081771, 80.25479609999999 13.0081807, 80.2548048 13.008432))",POINT (80.25485569999999 13.0083046),333.5,3590.0,8,3.5897641183999998,3.5897641183999998
,1379,354752590.0,,yes,,,,"POLYGON ((80.25168309999999 13.0091854, 80.2516924 13.0094672, 80.2518079 13.0094636, 80.2517986 13.0091817, 80.25168309999999 13.0091854))",POINT (80.2517455 13.0093245),390.8,4206.3,8,4.20653618432,4.20653618432
,1380,354752592.0,,yes,,,,"POLYGON ((80.2503208 13.0078875, 80.250338 13.0082474, 80.25048510000001 13.0082408, 80.250468 13.0078808, 80.2503208 13.0078875))",POINT (80.25040300000001 13.0080641),636.5,6851.5,8,6.8512289696,6.8512289696
,1381,354752594.0,,yes,,,,"POLYGON ((80.25225620000001 13.0091598, 80.2522764 13.009442, 80.2523741 13.0094353, 80.2523539 13.0091532, 80.25225620000001 13.0091598))",POINT (80.2523151 13.0092976),332.2,3575.5,8,3.5757710348800003,3.5757710348800003
,1382,354752598.0,,yes,,,,"POLYGON ((80.2510283 13.0082342, 80.2511643 13.0082287, 80.2511586 13.0080958, 80.2510225 13.0081014, 80.2510283 13.0082342))",POINT (80.2510934 13.008165),217.1,2337.1,8,2.33684494784,2.33684494784
,1383,354752599.0,,yes,,,,"POLYGON ((80.2527833 13.0077768, 80.2527984 13.0081395, 80.252962 13.008133, 80.25294700000001 13.0077704, 80.2527833 13.0077768))",POINT (80.2528727 13.0079549),712.8,7673.0,8,7.67251533312,7.67251533312
,1384,354752600.0,,yes,,,,"POLYGON ((80.2522086 13.0085447, 80.2523441 13.0085399, 80.25234159999999 13.0084715, 80.2522061 13.0084763, 80.2522086 13.0085447))",POINT (80.25227510000001 13.0085081),111.3,1197.9,8,1.19802322752,1.19802322752
,1385,354752602.0,,yes,,,,"POLYGON ((80.25373810000001 13.0077457, 80.2537566 13.0081023, 80.253902 13.0080952, 80.25388359999999 13.0077385, 80.25373810000001 13.0077457))",POINT (80.2538201 13.0079204),623.7,6712.9,8,6.713450916480001,6.713450916480001
,1386,354752604.0,,yes,,,,"POLYGON ((80.25130299999999 13.0091238, 80.2514774 13.009118, 80.2514561 13.0087421, 80.2512919 13.0087499, 80.25130299999999 13.0091238))",POINT (80.2513823 13.0089353),762.4,8206.8,8,8.206405288960001,8.206405288960001
,1387,354752606.0,,yes,,,,"POLYGON ((80.2525771 13.0081467, 80.25271840000001 13.0081413, 80.2527044 13.0077952, 80.2525631 13.0078007, 80.2525771 13.0081467))",POINT (80.25264079999999 13.007971),587.3,6321.4,8,6.321644577919999,6.321644577919999
,1388,354752608.0,,yes,,,,"POLYGON ((80.2531111 13.0068414, 80.2531232 13.0071855, 80.2533021 13.0071795, 80.2532901 13.0068355, 80.2531111 13.0068414))",POINT (80.2532066 13.0070105),739.2,7956.3,8,7.956682567680001,7.956682567680001
,1389,354752610.0,,yes,,,,"POLYGON ((80.2532537 13.0077589, 80.2532764 13.0081224, 80.25343890000001 13.0081128, 80.2534162 13.0077492, 80.2532537 13.0077589))",POINT (80.2533463 13.0079358),711.1,7653.8,8,7.65421668544,7.65421668544
,1390,354752611.0,,yes,,,,"POLYGON ((80.25097049999999 13.0092076, 80.2509834 13.0094977, 80.2510996 13.0094928, 80.2510867 13.0092027, 80.25097049999999 13.0092076))",POINT (80.2510351 13.0093502),405.0,4359.3,8,4.359383712,4.359383712
,1391,354752612.0,,yes,,,,"POLYGON ((80.25406820000001 13.0068179, 80.2540862 13.007164, 80.2542761 13.0071546, 80.25425799999999 13.0068085, 80.25406820000001 13.0068179))",POINT (80.25417210000001 13.0069863),790.0,8503.3,8,8.503489216,8.503489216
,1392,354752613.0,,yes,,,,"POLYGON ((80.2543107 13.009062, 80.25432790000001 13.0093569, 80.2544582 13.0093497, 80.254441 13.0090548, 80.2543107 13.009062))",POINT (80.2543845 13.0092058),462.3,4975.8,8,4.97615577792,4.97615577792
,1393,354752615.0,,yes,,,,"POLYGON ((80.25401859999999 13.0089907, 80.25416130000001 13.0089885, 80.254152 13.0086882, 80.2540071 13.0086869, 80.25401859999999 13.0089907))",POINT (80.2540846 13.0088382),520.9,5607.1,8,5.60692092736,5.60692092736
,1394,354752616.0,,yes,,,,"POLYGON ((80.25205560000001 13.007827, 80.2520687 13.0081681, 80.2522511 13.0081615, 80.2522381 13.0078203, 80.25205560000001 13.007827))",POINT (80.2521534 13.0079942),747.4,8045.4,8,8.04494663296,8.04494663296
,1395,354752617.0,,yes,,,,"POLYGON ((80.25320189999999 13.0092494, 80.2531997 13.0094217, 80.25328159999999 13.0094227, 80.25328380000001 13.0092504, 80.25320189999999 13.0092494))",POINT (80.2532418 13.009336),169.2,1821.7,8,1.8212536396799999,1.8212536396799999
,1396,354752623.0,,yes,,,,"POLYGON ((80.25056480000001 13.008067, 80.25071060000001 13.0080581, 80.25070100000001 13.0079095, 80.25055519999999 13.0079184, 80.25056480000001 13.008067))",POINT (80.2506329 13.0079882),260.8,2807.6,8,2.80722783232,2.80722783232
,1397,354752625.0,,yes,,,,"POLYGON ((80.25079940000001 13.0078935, 80.2508194 13.0082479, 80.2509611 13.0082403, 80.250941 13.0078859, 80.25079940000001 13.0078935))",POINT (80.2508802 13.0080669),603.8,6499.5,8,6.499249099519999,6.499249099519999
,1398,354752626.0,,yes,,,,"POLYGON ((80.25412129999999 13.0073191, 80.254328 13.0073093, 80.254323 13.0072082, 80.25411630000001 13.0072179, 80.25412129999999 13.0073191))",POINT (80.25422210000001 13.0072636),251.3,2705.0,8,2.7049706835200005,2.7049706835200005
,1399,354752627.0,,yes,,,,"POLYGON ((80.2528051 13.0091313, 80.25281219999999 13.0094164, 80.2529238 13.0094137, 80.25291679999999 13.0091286, 80.2528051 13.0091313))",POINT (80.2528645 13.0092725),381.9,4111.2,8,4.11073738176,4.11073738176
,1400,354752630.0,,yes,,,,"POLYGON ((80.25239689999999 13.008531, 80.2525085 13.0085286, 80.25250149999999 13.0082285, 80.25239000000001 13.008231, 80.25239689999999 13.008531))",POINT (80.2524492 13.0083798),401.6,4322.5,8,4.3227864166400005,4.3227864166400005
,1401,354752631.0,,yes,,,,"POLYGON ((80.25348630000001 13.0077473, 80.2535044 13.0081314, 80.25367230000001 13.0081239, 80.25365429999999 13.0077398, 80.25348630000001 13.0077473))",POINT (80.2535793 13.0079356),775.2,8344.2,8,8.344183342080001,8.344183342080001
,1402,354752632.0,,yes,,,,"POLYGON ((80.25485020000001 13.0091149, 80.25495340000001 13.0091129, 80.2549515 13.0090186, 80.25484830000001 13.0090206, 80.25485020000001 13.0091149))",POINT (80.2549008 13.0090667),116.7,1256.6,8,1.25614834368,1.25614834368
,1403,354752634.0,,yes,,,,"POLYGON ((80.2505745 13.0082457, 80.2507172 13.0082397, 80.25071149999999 13.0081081, 80.2505687 13.008114, 80.2505745 13.0082457))",POINT (80.250643 13.0081769),225.8,2430.2,8,2.4304909683200004,2.4304909683200004
,1404,354752637.0,,yes,,,,"POLYGON ((80.25356119999999 13.0090998, 80.25358629999999 13.0094005, 80.25370239999999 13.0093913, 80.2536774 13.0090906, 80.25356119999999 13.0090998))",POINT (80.25363179999999 13.0092455),421.6,4537.9,8,4.5380646246400005,4.5380646246400005
,1405,354752640.0,,yes,,,,"POLYGON ((80.2533354 13.008925, 80.2535069 13.0089145, 80.2534986 13.0087846, 80.25332710000001 13.0087951, 80.2533354 13.008925))",POINT (80.253417 13.0088548),268.2,2886.8,8,2.8868807692800003,2.8868807692800003
,1406,354752641.0,,yes,,,,"POLYGON ((80.2523503 13.0071679, 80.2525198 13.0071592, 80.2525057 13.0069018, 80.2523362 13.0069106, 80.2523503 13.0071679))",POINT (80.25242799999999 13.0070349),524.6,5646.4,8,5.64674739584,5.64674739584
,1407,354752642.0,,yes,,,,"POLYGON ((80.2538655 13.0068199, 80.2538796 13.0071425, 80.2540442 13.0071357, 80.25403009999999 13.0068131, 80.2538655 13.0068199))",POINT (80.2539548 13.0069778),637.9,6866.4,8,6.86629844416,6.86629844416
,1408,354752643.0,,yes,,,,"POLYGON ((80.2520358 13.008447, 80.25213340000001 13.0084437, 80.2521291 13.0083255, 80.2520315 13.0083288, 80.2520358 13.008447))",POINT (80.2520825 13.0083863),138.5,1490.9,8,1.4908015904,1.4908015904
,1409,354752645.0,,yes,,,,"POLYGON ((80.2511695 13.0092076, 80.25118670000001 13.0094866, 80.2512869 13.0094807, 80.25126969999999 13.0092017, 80.2511695 13.0092076))",POINT (80.2512282 13.0093442),336.5,3621.6,8,3.6220558496,3.6220558496
,1410,354752647.0,,yes,,,,"POLYGON ((80.25388580000001 13.0082081, 80.2538929 13.0084505, 80.2540077 13.0084474, 80.25400070000001 13.008205, 80.25388580000001 13.0082081))",POINT (80.25394679999999 13.0083277),334.1,3596.3,8,3.5962224646400003,3.5962224646400003
,1411,354752648.0,,yes,,,,"POLYGON ((80.2536181 13.0070866, 80.2537827 13.0070852, 80.2537815 13.0069508, 80.2536169 13.0069522, 80.2536181 13.0070866))",POINT (80.25369980000001 13.0070187),265.3,2855.7,8,2.85566542912,2.85566542912
,1412,354752650.0,,yes,,,,"POLYGON ((80.2545999 13.0081628, 80.2546056 13.0084226, 80.2547216 13.0084202, 80.25471589999999 13.0081604, 80.2545999 13.0081628))",POINT (80.2546607 13.0082915),361.6,3891.8,8,3.8922300006400006,3.8922300006400006
,1413,354752651.0,,yes,,,,"POLYGON ((80.25309559999999 13.0086644, 80.2531015 13.0087739, 80.2531702 13.0087704, 80.25316429999999 13.0086609, 80.25309559999999 13.0086644))",POINT (80.2531329 13.0087174),90.5,973.7,8,0.9741338912,0.9741338912
,1414,354752652.0,,yes,,,,"POLYGON ((80.2533713 13.0068627, 80.253384 13.0071709, 80.2535292 13.0071652, 80.2535165 13.006857, 80.2533713 13.0068627))",POINT (80.2534503 13.0070139),537.5,5785.7,8,5.78560184,5.78560184
,1415,354752655.0,,yes,,,,"POLYGON ((80.2530429 13.0080022, 80.2530454 13.0081185, 80.2531899 13.0081156, 80.2531874 13.0079993, 80.2530429 13.0080022))",POINT (80.2531164 13.0080589),201.6,2170.1,8,2.17000433664,2.17000433664
,1416,354752656.0,,yes,,,,"POLYGON ((80.25075099999999 13.0092441, 80.2507739 13.0095119, 80.2508823 13.0095032, 80.2508593 13.0092353, 80.25075099999999 13.0092441))",POINT (80.25081659999999 13.0093736),350.4,3771.9,8,3.77167420416,3.77167420416
,1417,354752657.0,,yes,,,,"POLYGON ((80.2509191 13.0082956, 80.25093339999999 13.0085802, 80.2510523 13.0085745, 80.2510379 13.0082899, 80.2509191 13.0082956))",POINT (80.2509857 13.0084351),406.6,4376.6,8,4.376605968640001,4.376605968640001
,1418,354752658.0,,yes,,,,"POLYGON ((80.254575 13.0079591, 80.25472259999999 13.0079452, 80.2547105 13.0078232, 80.254563 13.007837, 80.254575 13.0079591))",POINT (80.2546428 13.0078911),218.0,2346.0,8,2.3465324672000003,2.3465324672000003
,1419,354752659.0,,yes,,,,"POLYGON ((80.2505922 13.0092235, 80.2506051 13.0095039, 80.2507069 13.0094995, 80.250694 13.0092191, 80.2505922 13.0092235))",POINT (80.25064949999999 13.0093615),343.0,3691.8,8,3.6920212672000003,3.6920212672000003
,1420,354752664.0,,yes,,,,"POLYGON ((80.2545547 13.0075166, 80.25474939999999 13.0075049, 80.2547397 13.0073535, 80.2545451 13.0073652, 80.2545547 13.0075166))",POINT (80.25464719999999 13.0074351),354.8,3818.5,8,3.8190354099200006,3.8190354099200006
,1421,354752667.0,,yes,,,,"POLYGON ((80.2530026 13.0091234, 80.2530168 13.0093779, 80.25314229999999 13.0093713, 80.2531281 13.0091167, 80.2530026 13.0091234))",POINT (80.2530725 13.0092473),384.2,4135.7,8,4.1354943756800004,4.1354943756800004
,1422,354752669.0,,yes,,,,"POLYGON ((80.2518413 13.0082681, 80.2518499 13.0085541, 80.2519396 13.0085516, 80.251931 13.0082656, 80.2518413 13.0082681))",POINT (80.2518905 13.0084098),307.9,3314.2,8,3.31420801216,3.31420801216
,1423,354752670.0,,yes,,,,"POLYGON ((80.2503411 13.0089072, 80.2505273 13.0088973, 80.2505208 13.0087808, 80.2503346 13.0087906, 80.2503411 13.0089072))",POINT (80.2504309 13.008844),261.0,2809.5,8,2.8093806144,2.8093806144
,1424,354752672.0,,yes,,,,"POLYGON ((80.25118550000001 13.0075905, 80.25117830000001 13.0073994, 80.251081 13.0074029, 80.2510881 13.0075947, 80.2511093 13.0075939, 80.25111149999999 13.0076882, 80.2512081 13.0076861, 80.251206 13.0075901, 80.25118550000001 13.0075905))",POINT (80.25114170000001 13.0075441),334.5,3600.4,8,3.6005280288,3.6005280288
,1425,354752677.0,,yes,,,,"POLYGON ((80.25039339999999 13.009534, 80.2505215 13.0095279, 80.25050659999999 13.0092313, 80.2503786 13.0092374, 80.25039339999999 13.009534))",POINT (80.25045 13.0093827),456.5,4914.0,8,4.9137250976,4.9137250976
,1426,354752679.0,,yes,,,,"POLYGON ((80.2535154 13.0081924, 80.25353250000001 13.008469, 80.25364089999999 13.0084626, 80.25362389999999 13.008186, 80.2535154 13.0081924))",POINT (80.25357820000001 13.0083275),361.0,3886.1,8,3.8857716544,3.8857716544
,1427,354752681.0,,yes,,,,"POLYGON ((80.25110119999999 13.0090334, 80.2512065 13.0090295, 80.25119650000001 13.0087765, 80.2510912 13.0087805, 80.25110119999999 13.0090334))",POINT (80.2511489 13.008905),319.9,3443.2,8,3.44337493696,3.44337493696
,1428,354752687.0,,yes,,,,"POLYGON ((80.2512126 13.0082425, 80.251324 13.0082425, 80.251324 13.0081291, 80.2512126 13.0081291, 80.2512126 13.0082425))",POINT (80.25126830000001 13.0081858),151.5,1630.6,8,1.6307324256,1.6307324256
,1429,354752690.0,,yes,,,,"POLYGON ((80.2541588 13.0075301, 80.2542814 13.0075201, 80.2542713 13.0074022, 80.25414859999999 13.0074122, 80.2541588 13.0075301))",POINT (80.254215 13.0074661),174.6,1879.6,8,1.87937875584,1.87937875584
,1430,354752692.0,,yes,,,,"POLYGON ((80.2531109 13.0090427, 80.2532525 13.0090347, 80.2532393 13.0088138, 80.25309780000001 13.0088218, 80.2531109 13.0090427))",POINT (80.25317510000001 13.0089283),376.2,4049.6,8,4.04938309248,4.04938309248
,1431,354752694.0,,yes,,,,"POLYGON ((80.2525773 13.0069194, 80.2525887 13.0072387, 80.2527655 13.0072327, 80.2527542 13.0069134, 80.2525773 13.0069194))",POINT (80.2526714 13.007076),678.0,7297.6,8,7.2979312512000005,7.2979312512000005
,1432,354752696.0,,yes,,,,"POLYGON ((80.2539141 13.0075467, 80.2540817 13.0075457, 80.25408059999999 13.0073792, 80.25391310000001 13.0073802, 80.2539141 13.0075467))",POINT (80.2539974 13.007463),334.5,3601.0,8,3.6005280288,3.6005280288
,1433,354752698.0,,yes,,,,"POLYGON ((80.25358970000001 13.0069263, 80.2537742 13.0069221, 80.25377159999999 13.0068113, 80.2535871 13.0068154, 80.25358970000001 13.0069263))",POINT (80.2536806 13.0068688),245.4,2641.3,8,2.64146361216,2.64146361216
,1434,354752703.0,,yes,,,,"POLYGON ((80.2516206 13.0083523, 80.25178440000001 13.0083458, 80.25178 13.0082404, 80.25161610000001 13.0082469, 80.2516206 13.0083523))",POINT (80.2517003 13.0082963),207.4,2232.9,8,2.2324350169600002,2.2324350169600002
,1435,354752707.0,,yes,,,,"POLYGON ((80.2540822 13.0081745, 80.2540936 13.008462, 80.25420769999999 13.0084578, 80.2541963 13.0081702, 80.2540822 13.0081745))",POINT (80.25414499999999 13.0083161),394.0,4241.2,8,4.2409806976,4.2409806976
,1436,354752709.0,,yes,,,,"POLYGON ((80.2531675 13.0090939, 80.25317440000001 13.0092, 80.25333329999999 13.0091903, 80.2533265 13.0090841, 80.2531675 13.0090939))",POINT (80.2532504 13.0091421),203.1,2186.5,8,2.18615020224,2.18615020224
,1437,354752712.0,,yes,,,,"POLYGON ((80.2528281 13.0089455, 80.25295560000001 13.008944, 80.2529528 13.0087069, 80.2528253 13.0087083, 80.2528281 13.0089455))",POINT (80.2528904 13.0088262),362.6,3903.4,8,3.9029939110400007,3.9029939110400007
,1438,354752713.0,,yes,,,,"POLYGON ((80.25183869999999 13.008071, 80.2520075 13.0080627, 80.2519952 13.0078241, 80.2518264 13.0078324, 80.25183869999999 13.008071))",POINT (80.2519169 13.0079476),484.2,5211.9,8,5.211885415679999,5.211885415679999
,1439,354752715.0,,yes,,,,"POLYGON ((80.2507557 13.0083196, 80.2507744 13.0085958, 80.2508689 13.0085897, 80.2508503 13.0083135, 80.2507557 13.0083196))",POINT (80.25081230000001 13.0084546),314.5,3385.5,8,3.3852498208000004,3.3852498208000004
,1440,354752716.0,,yes,,,,"POLYGON ((80.2516232 13.0076604, 80.2517943 13.0076537, 80.25178080000001 13.007327, 80.2516097 13.0073337, 80.2516232 13.0076604))",POINT (80.25170199999999 13.0074937),671.4,7226.9,8,7.22688944256,7.22688944256
,1441,354752717.0,,yes,,,,"POLYGON ((80.2510951 13.0082847, 80.2511051 13.0085986, 80.2512464 13.0085943, 80.2512363 13.0082804, 80.2510951 13.0082847))",POINT (80.2511707 13.0084395),532.2,5728.7,8,5.728553114880001,5.728553114880001
,1442,354752724.0,,yes,,,,"POLYGON ((80.2512984 13.0085012, 80.25129990000001 13.0086079, 80.2513929 13.0086067, 80.2513926 13.0085873, 80.2514578 13.0085865, 80.2514566 13.0084992, 80.2512984 13.0085012))",POINT (80.2513744 13.0085501),187.2,2015.5,8,2.01500402688,2.01500402688
,1443,354752729.0,,yes,,,,"POLYGON ((80.2528385 13.0090904, 80.2530501 13.0090786, 80.2530441 13.0089774, 80.2529212 13.0089843, 80.25292210000001 13.0089984, 80.25283330000001 13.0090034, 80.2528385 13.0090904))",POINT (80.25294529999999 13.0090364),242.5,2610.2,8,2.610248272,2.610248272
,1444,354752730.0,,yes,,,,"POLYGON ((80.25128359999999 13.008481, 80.25141410000001 13.0084774, 80.2514127 13.0084294, 80.251426 13.008429, 80.2514248 13.0083891, 80.25128100000001 13.0083931, 80.25128359999999 13.008481))",POINT (80.2513507 13.0084341),144.1,1550.8,8,1.55107948864,1.55107948864
,1445,354752732.0,,yes,,,,"POLYGON ((80.253328 13.0084871, 80.2534474 13.0084832, 80.25344339999999 13.0083686, 80.25340509999999 13.0083698, 80.2534011 13.0082548, 80.2533201 13.0082574, 80.253328 13.0084871))",POINT (80.2533763 13.0083816),276.2,2972.7,8,2.97299205248,2.97299205248
,1446,354752733.0,,yes,,,,"POLYGON ((80.25479489999999 13.0067811, 80.2548077 13.007124, 80.2549861 13.0071176, 80.2549843 13.0070681, 80.2548912 13.0070714, 80.2548803 13.0067781, 80.25479489999999 13.0067811))",POINT (80.25485689999999 13.0069705),406.8,4379.0,8,4.37875875072,4.37875875072
,1447,354752736.0,,yes,,,,"POLYGON ((80.2537713 13.0091782, 80.2537784 13.0092863, 80.25386140000001 13.0092811, 80.2538591 13.0092458, 80.2538777 13.0092447, 80.253873 13.0091719, 80.2537713 13.0091782))",POINT (80.2538229 13.0092269),124.4,1338.6,8,1.33903045376,1.33903045376
,1448,354752738.0,,yes,,,,"POLYGON ((80.25190240000001 13.008733, 80.25191239999999 13.0089674, 80.252016 13.0089632, 80.2520136 13.0089063, 80.2520272 13.0089058, 80.2520221 13.008785, 80.2520057 13.0087857, 80.2520033 13.0087289, 80.25190240000001 13.008733))",POINT (80.25196270000001 13.0088485),309.7,3333.3,8,3.33358305088,3.33358305088
,1449,354752740.0,,yes,,,,"POLYGON ((80.25189640000001 13.0091276, 80.2520911 13.0091231, 80.2520887 13.009024, 80.2520447 13.009025, 80.25204429999999 13.0090085, 80.2520239 13.009009, 80.25202419999999 13.009025, 80.25189399999999 13.009028, 80.25189640000001 13.0091276))",POINT (80.2519932 13.0090746),236.3,2543.8,8,2.5435120275200003,2.5435120275200003
,1450,354752760.0,,yes,,,,"POLYGON ((80.2524475 13.0091569, 80.25245150000001 13.0092761, 80.2524367 13.0092765, 80.2524384 13.0093279, 80.25245320000001 13.0093274, 80.2524566 13.0094321, 80.2525612 13.0094288, 80.2525521 13.0091536, 80.2524475 13.0091569))",POINT (80.2525028 13.0092931),354.6,3816.4,8,3.81688262784,3.81688262784
,1451,354752774.0,,yes,,,,"POLYGON ((80.2540719 13.0090652, 80.2540755 13.0091194, 80.2541504 13.0091146, 80.2541533 13.0091586, 80.2542127 13.0091549, 80.25421129999999 13.009133, 80.2542413 13.0091311, 80.25423619999999 13.0090548, 80.2540719 13.0090652))",POINT (80.2541652 13.0090992),146.7,1578.7,8,1.57906565568,1.57906565568
,1452,354752780.0,,yes,,,,"POLYGON ((80.25379599999999 13.0089146, 80.25387120000001 13.0089138, 80.25387069999999 13.0088702, 80.2539103 13.0088697, 80.2539096 13.0088039, 80.25384990000001 13.0088046, 80.2538497 13.0087877, 80.25379460000001 13.0087883, 80.25379599999999 13.0089146))",POINT (80.2538448 13.0088495),141.1,1518.8,8,1.51878775744,1.51878775744
,1453,354752784.0,,yes,,,,"POLYGON ((80.2526293 13.0091445, 80.2526331 13.0093571, 80.2526603 13.0093566, 80.2526608 13.0093811, 80.2526336 13.0093815, 80.2526342 13.0094147, 80.2527405 13.0094129, 80.2527357 13.0091427, 80.2526293 13.0091445))",POINT (80.25268579999999 13.0092765),336.8,3625.2,8,3.62528502272,3.62528502272
,1454,354752786.0,,yes,,,,"POLYGON ((80.252323 13.0081661, 80.2524815 13.0081651, 80.25248070000001 13.0080418, 80.25238950000001 13.0080424, 80.2523896 13.008053, 80.2523455 13.0080533, 80.25234570000001 13.0080731, 80.2523224 13.0080732, 80.252323 13.0081661))",POINT (80.25240530000001 13.0081072),220.2,2370.7,8,2.3702130700799997,2.3702130700799997
,1455,354752799.0,,yes,,,,"POLYGON ((80.2508383 13.0089938, 80.25092429999999 13.0089901, 80.2509233 13.0089689, 80.2509567 13.0089675, 80.250956 13.0089528, 80.2509834 13.0089516, 80.2509802 13.008883, 80.25083360000001 13.0088894, 80.2508383 13.0089938))",POINT (80.2509033 13.0089341),163.8,1762.9,8,1.7631285235200003,1.7631285235200003
,1456,354752803.0,,yes,,,,"POLYGON ((80.2523612 13.0087922, 80.2523661 13.0089487, 80.25253979999999 13.0089435, 80.2525345 13.0087763, 80.2524718 13.0087782, 80.2524714 13.0087654, 80.25241149999999 13.0087672, 80.25241219999999 13.0087906, 80.2523612 13.0087922))",POINT (80.2524513 13.0088616),351.2,3780.1,8,3.7802853324799996,3.7802853324799996
,1457,354766348.0,,yes,,,,"POLYGON ((80.24584470000001 13.0093751, 80.246244 13.0093575, 80.2462405 13.0092825, 80.2461854 13.0092849, 80.2461828 13.0092309, 80.24606129999999 13.0092362, 80.2460639 13.0092914, 80.24602369999999 13.0092932, 80.24602109999999 13.009238, 80.245874 13.0092445, 80.2458771 13.0093112, 80.24584179999999 13.0093127, 80.24584470000001 13.0093751))",POINT (80.2460396 13.0093079),528.5,5688.3,7,5.6887266464,5.6887266464
,1458,354766360.0,,yes,,,,"POLYGON ((80.2460801 13.0080246, 80.246118 13.0080247, 80.2461179 13.0080423, 80.2461861 13.0080424, 80.2461861 13.008033, 80.2463496 13.0080335, 80.2463496 13.0080429, 80.24644120000001 13.0080431, 80.24644139999999 13.0079568, 80.2464078 13.0079567, 80.2464078 13.0079675, 80.24638419999999 13.0079674, 80.24638419999999 13.0079601, 80.24608019999999 13.0079593, 80.2460801 13.0080246))",POINT (80.2462641 13.0079984),331.8,3571.3,7,3.57146547072,3.57146547072
,1459,354766392.0,,yes,,,,"POLYGON ((80.24668389999999 13.008547, 80.2467862 13.0085451, 80.24678350000001 13.0084133, 80.2466812 13.0084152, 80.24668389999999 13.008547))",POINT (80.24673369999999 13.0084801),161.7,1741.0,7,1.74052431168,1.74052431168
,1460,354766405.0,,yes,,,,"POLYGON ((80.24585829999999 13.0089576, 80.24644910000001 13.008925, 80.2464451 13.008856, 80.2458542 13.0088886, 80.24585829999999 13.0089576))",POINT (80.2461517 13.0089068),490.5,5279.4,7,5.2796980512,5.2796980512
,1461,354766424.0,,yes,,,,"POLYGON ((80.2466668 13.0096498, 80.2468222 13.00964, 80.2468173 13.0095659, 80.2466618 13.0095757, 80.2466668 13.0096498))",POINT (80.246742 13.0096078),138.7,1493.1,7,1.4929543724799998,1.4929543724799998
,1462,354766489.0,,yes,,,,"POLYGON ((80.2469274 13.0096249, 80.2470849 13.0096161, 80.2470811 13.0095521, 80.2469236 13.0095609, 80.2469274 13.0096249))",POINT (80.2470043 13.0095885),121.3,1305.4,7,1.30566233152,1.30566233152
,1463,354766495.0,,yes,,,,"POLYGON ((80.2463407 13.0093611, 80.2464631 13.0093601, 80.24646199999999 13.0092297, 80.2463396 13.0092307, 80.2463407 13.0093611))",POINT (80.2464013 13.0092954),191.4,2060.3,7,2.06021245056,2.06021245056
,1464,354766561.0,,yes,,,,"POLYGON ((80.2466999 13.0098287, 80.24688140000001 13.0098101, 80.2468741 13.0097421, 80.24669249999999 13.0097607, 80.2466999 13.0098287))",POINT (80.246787 13.0097854),149.7,1611.2,7,1.61135738688,1.61135738688
,1465,354766563.0,,yes,,,,"POLYGON ((80.24725479999999 13.0091079, 80.2473852 13.009103, 80.2473828 13.0090425, 80.24725239999999 13.0090474, 80.24725479999999 13.0091079))",POINT (80.2473188 13.0090752),94.7,1019.8,7,1.01934231488,1.01934231488
,1466,354766583.0,,yes,,,,"POLYGON ((80.24669280000001 13.0091039, 80.24676650000001 13.0090991, 80.2467627 13.0090438, 80.2466889 13.0090486, 80.24669280000001 13.0091039))",POINT (80.24672769999999 13.0090738),49.1,528.8,7,0.52850800064,0.52850800064
,1467,354766591.0,,yes,,,,"POLYGON ((80.2471759 13.0096264, 80.2473354 13.0096176, 80.2473311 13.009544, 80.2471716 13.0095528, 80.2471759 13.0096264))",POINT (80.2472535 13.0095852),141.2,1520.1,7,1.5198641484799997,1.5198641484799997
,1468,354766658.0,,yes,,,,"POLYGON ((80.24707479999999 13.0091094, 80.2472052 13.0091045, 80.2472027 13.0090395, 80.24707220000001 13.0090444, 80.24707479999999 13.0091094))",POINT (80.24713869999999 13.0090744),101.8,1096.1,7,1.09576607872,1.09576607872
,1469,354766729.0,,yes,,,,"POLYGON ((80.2463181 13.0098279, 80.2463743 13.0098256, 80.24637509999999 13.0098439, 80.24646009999999 13.0098404, 80.2464595 13.0098278, 80.2465028 13.0098261, 80.2464997 13.0097552, 80.2463152 13.0097629, 80.2463181 13.0098279))",POINT (80.2464111 13.0097968),165.9,1785.3,7,1.78573273536,1.78573273536
,1470,354766738.0,,yes,,,,"POLYGON ((80.24693499999999 13.0044652, 80.2471895 13.0044679, 80.24719140000001 13.0042989, 80.24722010000001 13.0042992, 80.2472219 13.0041361, 80.2471932 13.0041358, 80.247195 13.003974, 80.24694049999999 13.0039713, 80.24693499999999 13.0044652))",POINT (80.2470701 13.0042195),1563.7,16831.7,15,16.83152669248,16.83152669248
