name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Phantom of the Attic Games,51,324870286,,yes,,,"POLYGON ((-79.9488453 40.4449996, -79.94885600000001 40.4451022, -79.9492041 40.4450795, -79.94919299999999 40.4449776, -79.9488453 40.4449996))",POINT (-79.9490244 40.4450397),337.0,3627.8
,52,544174196,,residential,,,"POLYGON ((-79.9376303 40.4446247, -79.9376663 40.4446748, -79.93765670000001 40.4446788, -79.937691 40.4447265, -79.9376099 40.4447605, -79.9375397 40.4446627, -79.9376303 40.4446247))",POINT (-79.93761689999999 40.4446922),103.7,1116.1
Doherty Hall,53,27574545,,university,,,"POLYGON ((-79.94501080000001 40.4426738, -79.94495329999999 40.4428596, -79.94412079999999 40.4426898, -79.944198 40.4424546, -79.9440779 40.4424285, -79.9440693 40.4424612, -79.9438633 40.4424155, -79.9437877 40.4422985, -79.9439405 40.4421803, -79.9443783 40.4422717, -79.9443783 40.4422979, -79.94442119999999 40.4423109, -79.94448130000001 40.4421607, -79.9451164 40.4422913, -79.9450563 40.4424351, -79.9450992 40.4424416, -79.94508380000001 40.4424726, -79.94501080000001 40.4426738))",POINT (-79.94453970000001 40.4424776),5316.1,57222.5
,54,543159695,,yes,,,"POLYGON ((-79.9472521 40.4460123, -79.94726350000001 40.4461066, -79.9471983 40.4461112, -79.94718690000001 40.446017, -79.9472521 40.4460123))",POINT (-79.94722520000001 40.4460618),58.5,629.9
,55,544173961,,yes,,,"POLYGON ((-79.93975589999999 40.4459666, -79.9398795 40.4459862, -79.93985929999999 40.4460606, -79.939905 40.4460679, -79.9398697 40.4461974, -79.9396655 40.4461649, -79.9397032 40.4460266, -79.9397381 40.4460322, -79.93975589999999 40.4459666))",POINT (-79.93979040000001 40.4460894),353.2,3801.6
,56,544174014,,residential,,,"POLYGON ((-79.9373849 40.4418877, -79.9374243 40.4419418, -79.9373703 40.4419648, -79.9373765 40.4419732, -79.9372729 40.4420172, -79.9372197 40.4419441, -79.9373195 40.4419017, -79.9373272 40.4419122, -79.9373849 40.4418877))",POINT (-79.9373202 40.4419498),128.7,1385.2
,57,544174662,,yes,,,"POLYGON ((-79.94399439999999 40.4465402, -79.9440675 40.4465393, -79.9440692 40.446623, -79.9440809 40.4466229, -79.9440822 40.4466856, -79.9439593 40.4466871, -79.9439579 40.4466184, -79.943996 40.4466179, -79.94399439999999 40.4465402))",POINT (-79.9440245 40.4466225),133.1,1432.1
,58,173059419,,yes,,,"POLYGON ((-79.9482964 40.4452346, -79.9481546 40.4452438, -79.94814359999999 40.4451452, -79.94815850000001 40.4451442, -79.9481536 40.4451011, -79.94826519999999 40.4450938, -79.94826999999999 40.445137, -79.94828529999999 40.445136, -79.9482964 40.4452346))",POINT (-79.9482179 40.4451717),177.7,1912.4
,59,544174106,,yes,,,"POLYGON ((-79.9375175 40.4453836, -79.9375253 40.4454903, -79.9373593 40.4454974, -79.93735150000001 40.4453907, -79.9375175 40.4453836))",POINT (-79.9374384 40.4454405),166.9,1796.1
,60,544173847,,yes,,,"POLYGON ((-79.9378504 40.4411133, -79.9379041 40.4411539, -79.93783910000001 40.4412041, -79.93787279999999 40.4412296, -79.93782539999999 40.4412662, -79.9377379 40.4412001, -79.9378504 40.4411133))",POINT (-79.9378234 40.4411892),109.6,1179.8
Pittsburgh Golf Club,61,544173624,,commercial,,,"POLYGON ((-79.93941820000001 40.4399893, -79.9398434 40.4400661, -79.9398399 40.4400773, -79.9399288 40.4400933, -79.9399094 40.440156, -79.93982579999999 40.4401409, -79.93974710000001 40.4403953, -79.9395112 40.4403526, -79.9394731 40.4404758, -79.93923580000001 40.4404329, -79.9392422 40.4404124, -79.93915680000001 40.4403522, -79.9391607 40.440342, -79.9390983 40.4403307, -79.9391026 40.4403169, -79.9390612 40.4403094, -79.93907110000001 40.4402772, -79.93900600000001 40.4402654, -79.9390155 40.4402347, -79.9388818 40.4402105, -79.93891139999999 40.4401151, -79.9393007 40.4401855, -79.9393156 40.4401375, -79.9393693 40.4401472, -79.93941820000001 40.4399893))",POINT (-79.93944399999999 40.4402266),2401.8,25852.8
Lutheran University Center,62,121054525,,yes,place_of_worship,,"POLYGON ((-79.94957839999999 40.4444297, -79.9495469 40.4444405, -79.94955090000001 40.4444481, -79.94950799999999 40.4444744, -79.94949459999999 40.4444783, -79.94943840000001 40.4444802, -79.9494356 40.4444746, -79.9494042 40.4444827, -79.9493719 40.4444068, -79.9494028 40.4443981, -79.9493983 40.4443863, -79.94943019999999 40.444367, -79.949449 40.4443598, -79.94950609999999 40.4443548, -79.9495107 40.4443639, -79.9495422 40.4443562, -79.94957839999999 40.4444297))",POINT (-79.949474 40.4444186),175.7,1891.3
,63,544173759,,residential,,,"POLYGON ((-79.93692 40.4404243, -79.9370129 40.4404995, -79.9369351 40.4405555, -79.93692590000001 40.440548, -79.9368525 40.4406009, -79.936843 40.4405932, -79.9367738 40.440643, -79.9366818 40.4405685, -79.936758 40.4405136, -79.9367675 40.4405213, -79.9368382 40.4404704, -79.9368465 40.4404772, -79.93692 40.4404243))",POINT (-79.93684759999999 40.4405339),294.4,3168.7
,64,320582065,,yes,,,"POLYGON ((-79.9456813 40.4431359, -79.94563290000001 40.4431258, -79.94574230000001 40.4428228, -79.9457898 40.4428328, -79.9456813 40.4431359))",POINT (-79.94571139999999 40.4429798),148.5,1598.9
,65,543159685,,yes,,,"POLYGON ((-79.9469793 40.4455397, -79.9469874 40.4455977, -79.9468519 40.4456086, -79.9468439 40.4455506, -79.9469793 40.4455397))",POINT (-79.9469156 40.4455742),74.1,797.2
,66,167362262,,,parking,,"POLYGON ((-79.94290789999999 40.4421673, -79.94283470000001 40.4421522, -79.9428516 40.4421046, -79.94292489999999 40.4421197, -79.94290789999999 40.4421673))",POINT (-79.9428798 40.4421359),34.9,375.2
1094 Devon,67,27643505,,yes,,,"POLYGON ((-79.9409857 40.4451277, -79.9411178 40.4451717, -79.9410555 40.4452802, -79.94092329999999 40.4452361, -79.9409857 40.4451277))",POINT (-79.9410206 40.4452039),161.5,1738.3
Alcohol House,68,329218882,,yes,,,"POLYGON ((-79.949494 40.4426934, -79.94939530000001 40.4427192, -79.9493378 40.4425878, -79.94944 40.4425599, -79.949494 40.4426934))",POINT (-79.9494167 40.4426396),139.2,1498.8
,69,173057618,,commercial,dentist,,"POLYGON ((-79.9485566 40.4458969, -79.9485628 40.4459497, -79.9487518 40.4459368, -79.9487456 40.4458841, -79.9485566 40.4458969))",POINT (-79.94865419999999 40.4459169),95.1,1023.6
,70,27630262,,yes,,,"POLYGON ((-79.94160549999999 40.4447863, -79.94166199999999 40.4446884, -79.9415734 40.4446587, -79.9416186 40.4445805, -79.9414697 40.4445307, -79.9414245 40.4446089, -79.9413344 40.4445787, -79.94127779999999 40.4446766, -79.94160549999999 40.4447863))",POINT (-79.94148370000001 40.4446591),492.0,5295.6
East Campus Garage,71,27574237,,parking,parking,,"POLYGON ((-79.9410244 40.4441851, -79.94104160000001 40.4441389, -79.9411099 40.443955, -79.941136 40.4438846, -79.94066100000001 40.4437693, -79.9406443 40.4438127, -79.9395136 40.4435614, -79.9395275 40.4435252, -79.9390441 40.4434219, -79.93893009999999 40.4437279, -79.93909720000001 40.4437626, -79.93930779999999 40.4438063, -79.93929919999999 40.4438324, -79.94062099999999 40.4441263, -79.94062959999999 40.4441067, -79.9410244 40.4441851))",POINT (-79.94002930000001 40.4438212),6447.1,69395.9
,72,544173620,,yes,,,"POLYGON ((-79.9367838 40.4408457, -79.9368753 40.4409202, -79.936795 40.4409778, -79.93670349999999 40.4409033, -79.9367838 40.4408457))",POINT (-79.93678939999999 40.4409117),105.8,1138.5
Resnik House,73,27591352,,university,,,"POLYGON ((-79.9403836 40.4426874, -79.9404179 40.442596, -79.94039220000001 40.4425894, -79.9404179 40.4425176, -79.9398257 40.4424, -79.9398085 40.4423673, -79.9397227 40.4423477, -79.9396369 40.4423739, -79.93960250000001 40.4424457, -79.9396369 40.4424914, -79.93959390000001 40.4426025, -79.9398343 40.4426548, -79.9398772 40.4425372, -79.9403063 40.4426286, -79.9402977 40.4426678, -79.9403836 40.4426874))",POINT (-79.9399592 40.4425183),1310.1,14101.7
West Wing,74,27591351,,university,,,"POLYGON ((-79.9411692 40.4426826, -79.9410785 40.4429287, -79.9409859 40.4429089, -79.9410293 40.4427911, -79.9406173 40.4427031, -79.9406019 40.4427447, -79.9405041 40.4427238, -79.9405405 40.4426251, -79.9405754 40.4426326, -79.94060159999999 40.4425614, -79.9411692 40.4426826))",POINT (-79.9408645 40.4427079),910.7,9803.0
Scobell House,75,27591482,,yes,,,"POLYGON ((-79.9394748 40.4414559, -79.9394029 40.4413598, -79.9397632 40.4412038, -79.9398351 40.4412999, -79.9394748 40.4414559))",POINT (-79.93961899999999 40.4413299),432.9,4660.2
,76,544173937,,yes,,,"POLYGON ((-79.936595 40.4418175, -79.9366433 40.4418701, -79.9364769 40.4419594, -79.9364101 40.4418866, -79.9365299 40.4418224, -79.93654840000001 40.4418425, -79.936595 40.4418175))",POINT (-79.9365237 40.4418833),157.4,1694.1
,77,544173533,,yes,,,"POLYGON ((-79.9377121 40.4430475, -79.93779189999999 40.4431318, -79.93767750000001 40.443195, -79.9375977 40.4431107, -79.9377121 40.4430475))",POINT (-79.9376948 40.4431213),137.8,1483.4
Subway,78,272917029,,yes,fast_food,,"POLYGON ((-79.94882130000001 40.4447147, -79.94882939999999 40.4447708, -79.9490467 40.4447555, -79.94899169999999 40.4447232, -79.94897159999999 40.4446762, -79.94882130000001 40.4447147))",POINT (-79.948919 40.4447307),118.5,1276.0
,79,544174356,,residential,,,"POLYGON ((-79.9406338 40.446258, -79.94062150000001 40.4461675, -79.9408047 40.446153, -79.9408193 40.4462608, -79.9406362 40.4462754, -79.9406338 40.446258))",POINT (-79.9407204 40.4462142),187.1,2013.9
McGill House,80,27591456,,yes,,,"POLYGON ((-79.939168 40.4418395, -79.93903709999999 40.4418902, -79.9388467 40.4416059, -79.9389777 40.4415551, -79.939168 40.4418395))",POINT (-79.93900739999999 40.4417227),440.9,4746.0
,81,544173723,,yes,,,"POLYGON ((-79.9373224 40.4411405, -79.9374232 40.4411969, -79.9373181 40.4413065, -79.9372173 40.4412501, -79.9373224 40.4411405))",POINT (-79.9373203 40.4412235),158.9,1710.2
,82,543159696,,residential,,,"POLYGON ((-79.9469768 40.4456015, -79.9469799 40.4456279, -79.9470318 40.4456244, -79.9470355 40.4456568, -79.94683879999999 40.44567, -79.946832 40.4456113, -79.9469768 40.4456015))",POINT (-79.94692430000001 40.4456369),97.0,1043.9
,83,544173588,,yes,,,"POLYGON ((-79.93781130000001 40.4431595, -79.93789630000001 40.4432493, -79.93779019999999 40.4433079, -79.9377053 40.4432181, -79.93781130000001 40.4431595))",POINT (-79.93780080000001 40.4432337),136.8,1472.5
