name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,53,257051835,,yes,,,"POLYGON ((-111.9411602 33.4246585, -111.9408007 33.4246591, -111.9408002 33.4244359, -111.9411597 33.4244354, -111.9411602 33.4246585))",POINT (-111.9409802 33.4245472),826.7,8898.0
,54,561632042,,roof,,,"POLYGON ((-111.9363349 33.4256435, -111.9363347 33.4256117, -111.9362415 33.4256121, -111.9362418 33.4256439, -111.9363349 33.4256435))",POINT (-111.9362882 33.4256278),30.9,332.4
Engineering Center G-Wing,55,29216259,,yes,,,"POLYGON ((-111.9326238 33.420194, -111.9316137 33.4202003, -111.9316137 33.4198492, -111.931751 33.4198492, -111.931751 33.4200068, -111.9323432 33.4200068, -111.9323432 33.4198922, -111.932472 33.4198922, -111.9324682 33.4199848, -111.9326237 33.4199824, -111.9326238 33.420194))",POINT (-111.9321004 33.4200745),2394.6,25775.1
,56,712701965,,,parking,,"POLYGON ((-111.9405735 33.4184328, -111.9404261 33.418435, -111.9404291 33.4185791, -111.9405764 33.418577, -111.9405735 33.4184328))",POINT (-111.9405013 33.418506),219.3,2360.4
Manzanita Hall,57,256984986,,yes,,,"POLYGON ((-111.9304619 33.4226644, -111.9304276 33.4226643, -111.9301793 33.4226632, -111.930143 33.4227542, -111.9300413 33.42273, -111.9299651 33.4227014, -111.9298704 33.4226445, -111.9298962 33.4225414, -111.9298236 33.4224682, -111.9297994 33.4224394, -111.9297697 33.4224105, -111.9297471 33.4223913, -111.9297151 33.4223953, -111.9296801 33.4223576, -111.9297515 33.4222647, -111.9297784 33.4222763, -111.9298257 33.4222848, -111.9298439 33.4222858, -111.9298978 33.4222785, -111.929932 33.4222658, -111.92996 33.4222497, -111.9299772 33.4222315, -111.930008 33.4222333, -111.9300535 33.4222232, -111.9300965 33.422203, -111.9301211 33.4222121, -111.9301563 33.4222129, -111.9301867 33.4222117, -111.9302149 33.4222061, -111.9302386 33.4222164, -111.9302647 33.4222257, -111.9302987 33.4222317, -111.9303326 33.4222327, -111.9302902 33.4224162, -111.9302908 33.422441, -111.9302913 33.4224597, -111.9302929 33.4225217, -111.9304497 33.4225251, -111.9304619 33.4226644))",POINT (-111.9300864 33.4224631),2556.7,27519.8
,58,30420488,,yes,,,"POLYGON ((-111.930527 33.4229058, -111.9304816 33.4228867, -111.9305293 33.4227912, -111.9305572 33.422744, -111.9306814 33.4227912, -111.9306643 33.422827, -111.93069 33.4228414, -111.9306471 33.422913, -111.9306214 33.4228987, -111.9305956 33.4229345, -111.930527 33.4229058))",POINT (-111.9305881 33.4228419),247.0,2658.5
Tower Center,59,28822436,,yes,,,"POLYGON ((-111.9376849 33.4213982, -111.9374103 33.4213982, -111.9374103 33.4217994, -111.9375991 33.4217994, -111.9375991 33.4214842, -111.9376849 33.4214842, -111.9376849 33.4213982))",POINT (-111.9375169 33.4215848),854.8,9200.4
Life Sciences Tower,60,29215974,,yes,,,"POLYGON ((-111.9340349 33.4193825, -111.9340421 33.4194056, -111.934073 33.4194048, -111.9340925 33.4194332, -111.9341099 33.4194697, -111.9341323 33.4194629, -111.9341386 33.4195302, -111.9341349 33.4195836, -111.9341155 33.4195776, -111.9341008 33.4196096, -111.9340811 33.4196344, -111.9340307 33.4196356, -111.9340297 33.4196645, -111.9335586 33.4196664, -111.9335584 33.4196335, -111.9335321 33.4196336, -111.9335309 33.4194271, -111.9335544 33.419427, -111.9335541 33.4193774, -111.9340349 33.4193825))",POINT (-111.9338194 33.4195227),1655.0,17814.1
Computing Commons,61,28878239,,yes,,,"POLYGON ((-111.9321635 33.4175167, -111.9322957 33.4175167, -111.9325718 33.4175167, -111.9326184 33.4175167, -111.9326184 33.4181687, -111.9321635 33.4181687, -111.9321635 33.4175167))",POINT (-111.9323909 33.4178427),3058.3,32919.1
D'Lite,62,439081933,,yes,restaurant,,"POLYGON ((-111.9208025 33.4144964, -111.920669 33.4144975, -111.9206677 33.4143838, -111.9208012 33.4143828, -111.9208025 33.4144964))",POINT (-111.9207351 33.4144401),156.9,1688.6
