name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,2260,544243008,1913,1441,1,13.96697394,1,5,,footway,9,"LINESTRING (-111.9307529 33.4213066, -111.9307512 33.421181)",walk,0,0,,
,2261,544243008,1441,798,1,99.05859756,1,5,,footway,9,"LINESTRING (-111.9307512 33.421181, -111.9307393 33.4202902)",walk,0,0,,
,2262,544243009,799,804,1,27.5138902,1,5,,footway,9,"LINESTRING (-111.9316459 33.4202851, -111.9314237 33.4204489)",walk,0,0,,
,2263,544243009,804,800,1,26.8528734,1,5,,footway,9,"LINESTRING (-111.9314237 33.4204489, -111.9313536 33.4205006, -111.9313563 33.420664)",walk,0,0,,
,2264,544243010,800,796,1,85.53526846,1,5,,footway,9,"LINESTRING (-111.9313563 33.420664, -111.9312061 33.4207177, -111.9311068 33.4208341, -111.9309969 33.421114, -111.9309566 33.4213065)",walk,0,0,,
,2265,544243011,800,801,1,35.57667744,1,5,,footway,9,"LINESTRING (-111.9313563 33.420664, -111.9314528 33.4207446, -111.9316996 33.4207468)",walk;auto,0,0,,
,2266,544243011,801,1447,1,23.56457131,1,5,,footway,9,"LINESTRING (-111.9316996 33.4207468, -111.9317112 33.4209585)",walk;auto,0,0,,
,2267,544243011,1447,1440,1,31.39506146,1,5,,footway,9,"LINESTRING (-111.9317112 33.4209585, -111.9317237 33.4211878, -111.9317246 33.4212406)",walk;auto,0,0,,
,2268,544243012,801,1449,1,3.347018762,1,5,,footway,9,"LINESTRING (-111.9316996 33.4207468, -111.9316994 33.4207167)",walk;auto,0,0,,
,2269,544243012,1449,1716,1,20.21549545,1,5,,footway,9,"LINESTRING (-111.9316994 33.4207167, -111.9316983 33.4205349)",walk;auto,0,0,,
,2270,544243012,1716,803,1,27.81015469,1,5,,footway,9,"LINESTRING (-111.9316983 33.4205349, -111.9316969 33.4202848)",walk;auto,0,0,,
,2271,544243013,804,805,1,24.03562149,1,5,,footway,9,"LINESTRING (-111.9314237 33.4204489, -111.9312517 33.4202873)",walk,0,0,,
,2272,544243014,806,970,1,4.192048734,1,5,,footway,9,"LINESTRING (-111.9307662 33.422099, -111.9307662 33.4221367)",walk,0,0,,
,2273,544243014,970,808,1,19.45911216,1,5,,footway,9,"LINESTRING (-111.9307662 33.4221367, -111.9307662 33.4223117)",walk,0,0,,
,2274,544243014,808,814,1,5.726538722,1,5,,footway,9,"LINESTRING (-111.9307662 33.4223117, -111.9307662 33.4223632)",walk,0,0,,
,2275,544243014,814,813,1,37.58388521,1,5,,footway,9,"LINESTRING (-111.9307662 33.4223632, -111.9307662 33.4227012)",walk,0,0,,
,2276,544243014,813,1262,1,19.6925287,1,5,,footway,9,"LINESTRING (-111.9307662 33.4227012, -111.9307662 33.4228266, -111.9307384 33.4228728)",walk,0,0,,
,2277,544243014,1262,807,1,18.83473971,1,5,,footway,9,"LINESTRING (-111.9307384 33.4228728, -111.9306171 33.4230086)",walk,0,0,,
,2278,544243015,808,809,1,32.40533235,1,5,,footway,9,"LINESTRING (-111.9307662 33.4223117, -111.9310747 33.4224482)",walk,0,0,,
